,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,Label
63542,49,9,28,0,84,0,1,0,84,0.54,0.03,0,0
104168,15,9,1032,0,511,0,1,0,139,0.55,0.02,0.01,0
20683,24,9,201,5347,5,0,1,0,255,1,0,0,4
66838,24,9,230,2265,2,0,1,0,255,1,0,0,4
91303,49,4,1,0,2,0,1,0,2,0.01,0.41,0,1
45341,66,5,0,0,135,1,0.15,0.06,8,0.03,0.08,1,0
95709,12,9,43,116,103,0,1,0,254,1,0.01,0,4
119808,49,5,0,0,222,1,0.08,0.06,18,0.07,0.08,1,0
88157,24,9,256,1109,8,0,1,0,255,1,0,0,4
99747,12,9,45,110,1,0,1,0,233,0.91,0.01,0,4
23945,9,5,0,0,134,1,0.13,0.05,9,0.04,0.07,1,0
101558,67,5,0,0,291,1,0.08,0.04,24,0.09,0.05,1,0
2439,12,9,44,131,1,0,1,0,1,0.33,1,0,4
23026,24,9,227,853,7,0,1,0,255,1,0,0,4
171,24,9,228,6834,2,0,1,0,19,1,0,0,4
114476,12,9,44,67,159,0,1,0,166,0.65,0.01,0,4
68299,54,9,2013,368,1,0,1,0,193,0.72,0.01,0,4
84868,37,5,0,0,272,1,0.03,0.06,7,0.03,0.06,1,0
54201,49,5,0,0,120,1,0.1,0.06,4,0.02,0.07,1,0
26577,12,9,45,71,237,0,1,0,219,0.86,0.01,0,4
64759,49,5,0,0,252,1,0.05,0.07,13,0.05,0.08,1,0
53038,49,5,0,0,127,1,0.13,0.06,36,0.14,0.05,1,0
96564,18,2,0,0,265,0,0.07,0.06,18,0.07,0.07,0,0
11728,15,9,1032,0,511,0,1,0,86,0.48,0.04,0.01,0
14765,24,9,239,422,5,0,1,0,255,1,0,0,4
111745,49,9,105,147,3,0,0.33,0.67,240,0.94,0.01,0,4
30563,39,4,0,0,1,0,1,0,1,0.01,0.74,0.03,1
2375,24,5,0,0,3,1,1,0,64,0.25,0.02,1,0
37796,24,9,281,1946,2,0,1,0,255,1,0,0,4
31071,4,5,0,0,225,1,0.02,0.06,4,0.02,0.08,1,0
121710,60,9,102,1518,1,0,1,0,2,0.07,0.17,0,4
27741,24,9,219,2889,15,0,1,0,255,1,0,0,4
52911,49,5,0,0,137,1,0.1,0.06,5,0.02,0.07,1,0
18420,24,9,192,318,2,0,1,0,255,1,0,0,4
34923,49,5,0,0,263,1,0.03,0.05,8,0.04,0.06,0.99,0
71992,24,9,240,8718,4,0,1,0,255,1,0,0,4
94321,24,9,199,4023,5,0,1,0,255,1,0,0,4
113119,60,9,854,385102,1,0,1,0,7,0.08,0.05,0,4
47784,24,9,210,481,4,0,1,0,255,1,0,0,4
69547,49,5,0,0,106,1,0.16,0.06,5,0.02,0.08,1,0
67976,14,9,8,0,1,0,1,0,148,1,0,0,1
93060,54,9,727,338,1,0,1,0,165,0.57,0.09,0,4
118648,54,9,2552,342,1,0,1,0,107,0.67,0.03,0,4
69800,14,9,8,0,1,0,1,0,255,1,0,0,1
123689,16,5,0,0,115,1,0.04,0.06,5,0.02,0.06,1,0
93485,24,1,0,0,1,0,1,0,73,1,0,0,4
55340,49,9,28,0,20,0,1,0,120,0.47,0.53,0.09,0
23692,14,9,8,0,1,0,1,0,81,1,0,0,1
60367,6,1,0,0,114,0,0.12,0.06,14,0.05,0.05,0,0
57085,24,9,325,4757,12,0,1,0,255,1,0,0,4
117465,24,9,317,405,4,0,1,0,255,1,0,0,4
62091,24,9,245,3098,4,0,1,0,255,1,0,0,4
58966,12,9,33,89,1,0,1,0,19,0.7,0.07,0,4
73921,49,9,105,146,6,0,0.33,0.33,243,0.95,0.01,0,4
72733,68,5,0,0,277,1,0.07,0.05,19,0.07,0.05,1,0
2448,24,9,290,751,14,0,1,0,255,1,0,0,4
112583,12,9,33,0,2,0,1,0,27,0.28,0.06,0,4
10776,24,9,356,238,1,0,1,0,253,1,0,0,4
68373,49,5,0,0,96,1,0.04,0.07,4,0.02,0.07,1,0
45086,24,9,322,299,6,0,1,0,255,1,0,0,4
69756,15,9,1032,0,127,0,1,0,213,0.84,0.02,0,0
39482,12,9,43,138,33,0,1,0,161,0.72,0.02,0,4
23817,49,5,0,0,263,1,0.06,0.06,7,0.03,0.08,1,0
29664,15,9,520,0,264,0,1,0,255,1,0,0,0
51740,12,9,45,75,119,0,1,0,230,0.9,0.01,0,4
93088,4,9,9,38,1,0,1,0,2,0.02,0.05,0,4
7383,24,9,228,1438,3,0.33,1,0,255,1,0,0,4
99070,24,9,327,2169,8,0,1,0,255,1,0,0,4
46878,24,9,144,30695,21,0,1,0,255,1,0,0,4
38704,24,9,213,6524,2,0,1,0,255,1,0,0,4
36129,49,4,0,0,1,0,1,0,1,0,0.46,0,1
25716,54,9,125,240,2,0,0.5,1,81,0.24,0.69,0,4
13846,49,5,0,0,209,1,0.09,0.06,20,0.08,0.08,1,0
84807,49,5,0,0,27,1,0.11,0.22,3,0.01,0.1,1,0
113955,24,9,214,310,4,0,1,0,255,1,0,0,4
63256,67,1,0,0,262,0,0.08,0.06,20,0.08,0.08,0,0
111692,49,5,0,0,129,1,0.16,0.06,13,0.05,0.06,1,0
115286,24,9,233,6097,11,0,1,0,255,1,0,0,4
113424,54,9,2235,451,1,0,1,0,177,0.81,0.05,0,4
98352,24,9,237,386,1,0,1,0,255,1,0,0,4
110709,24,9,288,2055,3,0,1,0,255,1,0,0,4
71331,15,9,1032,0,85,0,1,0,255,1,0,0,0
25206,24,1,0,0,1,0,1,0,219,1,0,0,4
60166,24,9,340,343,14,0,1,0,255,1,0,0,4
121126,49,1,0,0,140,0,0.11,0.06,15,0.06,0.05,0,0
111664,33,5,0,0,224,1,0.06,0.07,18,0.07,0.07,1,0
50688,59,5,0,0,277,1,0.06,0.06,5,0.02,0.08,1,0
9709,24,9,295,5790,4,0,1,0,255,1,0,0,4
77288,49,5,0,0,219,1,0.02,0.07,16,0.06,0.07,1,0
79856,18,9,5,136,1,0,1,0,11,0.05,0.02,0.01,4
70607,60,5,0,0,50,1,0.2,0.08,59,0.23,0.02,1,0
109639,24,9,296,163,1,0,1,0,255,1,0,0,4
25159,24,9,299,392,9,0,1,0,255,1,0,0,4
44704,49,4,0,0,1,0,1,0,1,0,0.82,0,1
68770,57,5,0,0,103,1,0.03,0.05,3,0.01,0.05,1,0
37316,26,5,0,0,133,1,0.14,0.05,18,0.07,0.05,1,0
52064,49,5,0,0,208,1,0.09,0.06,15,0.06,0.08,1,0
32020,15,9,1032,0,364,0,1,0,40,0.3,0.05,0.01,0
73841,60,5,0,0,287,1,0.01,0.05,3,0.01,0.05,1,0
105456,24,9,231,1380,3,0,1,0,247,0.97,0.01,0,4
14818,49,9,105,147,9,0,0.22,0.33,243,0.95,0.01,0,4
72157,24,9,262,483,5,0,1,0,255,1,0,0,4
117998,24,9,275,28312,2,0,1,0,255,1,0,0,4
123141,24,9,240,633,2,0,1,0,255,1,0,0,4
85527,49,5,0,0,195,1,0.03,0.06,16,0.06,0.08,1,0
61778,41,5,0,0,99,1,0.06,0.07,6,0.03,0.07,1,0
19767,24,9,417,3294,17,0,1,0,247,1,0,0,4
85403,54,9,1281,361,1,0,1,0,123,0.38,0.05,0,4
115248,20,5,0,0,40,1,0.22,0.1,49,0.24,0.02,0.99,0
19741,14,9,18,0,1,0,1,0,54,1,0,0,1
113088,12,9,46,136,81,0,1,0,254,1,0.01,0,4
69696,49,5,0,0,129,0.99,0.06,0.07,8,0.03,0.05,1,0
99333,49,5,0,0,109,1,0.17,0.06,19,0.17,0.07,1,0
83631,54,9,1574,385,1,0,1,0,131,0.51,0.01,0.74,4
62911,49,1,0,0,1,0,1,0,2,0.02,1,0,1
24139,14,9,8,0,1,0,1,0,97,1,0,0,1
12758,24,9,373,3040,9,0,1,0,255,1,0,0,4
100425,47,9,35,130,1,0,1,0,6,0.03,0.04,0,4
39617,57,5,0,0,237,1,0.03,0.07,7,0.03,0.07,1,0
49980,60,9,39,121,511,0.07,0,1,1,0,1,0.13,1
35806,54,9,1216,337,1,0,1,0,184,0.76,0.04,0,4
49794,4,1,0,0,133,0,0.1,0.07,13,0.05,0.06,0,0
24773,20,9,641,0,1,0,1,0,9,0.04,0.65,0,4
98033,49,10,0,0,1,1,1,0,1,0.01,0.92,0.93,1
118417,24,5,0,0,39,1,0.33,0.1,63,0.25,0.02,1,0
12551,54,9,1979,396,1,0,1,0,119,0.33,0.03,0,4
1275,14,9,8,0,1,0,1,0,77,1,0,0,1
34835,24,9,207,2769,2,0,1,0,255,1,0,0,4
39112,44,1,0,0,509,0.09,0,1,1,0,1,0.12,1
113534,69,5,0,0,271,1,0.01,0.06,4,0.02,0.06,1,0
46773,12,9,41,57,3,0,1,0,235,0.92,0.01,0,4
69243,49,5,0,0,255,1,0.07,0.06,18,0.07,0.09,1,0
6245,54,9,1376,333,2,0,1,0,187,0.69,0.02,0.01,4
69113,24,1,0,0,1,0,1,0,161,1,0,0,4
98586,12,9,86,0,1,0,1,0,103,1,0,0,4
98599,49,5,0,0,203,1,0.02,0.06,2,0.01,0.07,1,0
6763,66,5,0,0,141,1,0.08,0.06,4,0.02,0.07,1,0
93362,24,9,216,14799,4,0,1,0,255,1,0,0,4
105243,12,9,44,77,197,0,1,0,236,0.93,0.01,0,4
19444,24,9,254,732,14,0,1,0,255,1,0,0,4
53967,54,9,643,326,1,0,1,0,109,0.67,0.03,0,4
100942,39,5,0,0,117,1,0.03,0.05,4,0.02,0.05,1,0
124771,24,9,237,1371,13,0,1,0,76,1,0,0,4
36266,14,9,8,0,1,0,1,0,93,1,0,0,1
81341,49,5,0,0,45,1,0.09,0.11,10,0.04,0.09,1,0
70079,49,1,0,0,393,0.06,0,1,1,0,1,0.09,1
11080,14,9,8,0,1,0,1,0,130,1,0,0,1
102871,49,5,0,0,296,1,0.07,0.06,36,0.14,0.06,1,0
77635,44,9,146,105,5,0,0.2,0.6,1,0,0.65,0,4
82014,24,9,227,354,11,0,1,0,255,1,0,0,4
92699,29,5,0,0,265,1,0.06,0.06,16,0.06,0.07,1,0
51395,23,5,0,0,247,1,0,0.07,1,0,0.07,1,0
54602,24,9,244,458,3,0,1,0,255,1,0,0,4
60803,54,9,1520,327,1,0,1,0,112,1,0,0,4
99610,54,9,1218,384,1,0,1,0,18,0.07,0.02,0.86,4
112369,49,1,0,0,125,0,0.09,0.06,11,0.04,0.05,0,0
67374,59,1,0,0,263,0,0.06,0.06,17,0.07,0.06,0,0
7242,49,5,0,0,119,1,0.16,0.06,18,0.27,0.09,1,0
56518,49,5,0,0,64,1,0.05,0.08,13,0.05,0.07,1,0
118812,24,9,205,1694,1,0,1,0,255,1,0,0.06,4
22809,24,9,329,2189,5,0,1,0,255,1,0,0,4
77601,15,9,520,0,434,0,1,0,31,1,0,0,0
62416,24,1,0,0,1,0,1,0,221,1,0,0,4
82935,37,1,0,0,206,0,0.03,0.08,6,0.02,0.09,0,0
25087,24,9,277,1993,4,0,1,0,255,1,0,0,4
71566,49,5,0,0,290,1,0.01,0.05,4,0.02,0.05,1,0
78308,20,9,7196,0,5,0,1,0,30,0.58,0.06,0,4
4129,24,9,224,1493,12,0,1,0,255,1,0,0,4
52895,15,9,1032,0,125,0,1,0,211,0.83,0.02,0,0
113384,24,5,0,0,48,1,0.33,0.08,65,0.25,0.02,1,0
14137,24,9,253,520,3,0,1,0,255,1,0,0,4
65068,12,9,29,0,1,0,1,0,52,0.21,0.08,0,4
15951,24,9,337,474,1,0,1,0,255,1,0,0,4
90169,24,9,315,689,7,0,1,0,255,1,0,0,4
64026,35,5,0,0,222,1,0.08,0.06,18,0.07,0.08,1,0
41233,24,9,248,237,1,0,1,0,255,1,0,0,4
103336,49,5,0,0,136,1,0.05,0.07,5,0.02,0.06,1,0
96716,49,5,0,0,260,1,0.06,0.06,17,0.07,0.07,1,0
63277,49,5,0,0,190,1,0.03,0.06,6,0.02,0.05,1,0
96897,49,9,28,0,48,0,1,0,15,0.06,0.01,0,0
124164,49,5,0,0,185,1,0.1,0.06,12,0.26,0.2,0.7,0
38583,58,5,0,0,290,1,0.02,0.05,5,0.02,0.05,1,0
70059,49,10,0,0,1,1,1,0,1,0,0.95,0.96,1
6091,24,5,0,0,11,1,0.73,0.18,59,0.23,0.04,1,0
102145,24,9,326,580,16,0,1,0,255,1,0,0,4
74926,24,9,268,613,41,0,1,0,255,1,0,0,4
15530,24,9,286,1415,1,0,1,0,255,1,0,0,4
41896,44,9,145,0,3,0,0.33,0.67,1,0,0.65,0,4
61695,20,5,0,0,30,1,0.23,0.13,65,0.25,0.02,1,0
40141,63,5,0,0,299,1,0.07,0.05,20,0.08,0.06,1,0
60383,65,9,151,0,3,0,0.33,0.67,5,0.06,0.05,0,4
8008,24,9,316,1078,4,0,1,0,255,1,0,0,4
13948,24,9,248,10403,6,0,1,0,255,1,0,0,4
69007,49,5,0,0,204,1,0.04,0.06,9,0.04,0.07,0.94,0
21421,68,5,0,0,230,1,0.04,0.06,9,0.04,0.06,1,0
13108,20,9,334,0,1,0,1,0,40,1,0,0,2
54483,24,9,327,2904,5,0,1,0,255,1,0,0,4
659,58,5,0,0,299,1,0.03,0.05,9,0.04,0.05,1,0
108980,24,9,228,515,23,0,1,0,255,1,0,0,4
68223,54,9,1516,333,1,0,1,0,170,0.61,0.02,0,4
65694,36,5,0,0,86,1,0.2,0.07,17,0.07,0.05,1,0
62892,7,5,0,0,226,1,0.08,0.07,19,0.07,0.08,1,0
54141,24,5,0,0,22,1,0.23,0.18,57,0.22,0.04,1,0
42127,12,9,42,71,215,0,1,0.01,240,0.94,0.02,0,4
98487,69,1,0,0,273,0,0.07,0.07,19,0.07,0.08,0,0
17978,30,5,0,0,132,1,0.12,0.06,4,0.02,0.07,1,0
69886,66,5,0,0,129,1,0.02,0.07,3,0.01,0.06,1,0
29634,11,9,48,497,45,0,0.02,0.04,1,0,0.02,0,4
54676,24,9,225,1820,3,0,1,0,255,1,0,0,4
651,24,9,257,23051,1,0,1,0,255,1,0,0,4
23662,49,5,0,0,207,1,0.02,0.05,4,0.36,0.27,0.82,0
15501,24,9,287,2872,3,0,1,0,255,1,0,0,4
119402,49,4,0,0,1,0,1,0,1,0,0.84,0,1
119930,24,9,203,930,36,0,1,0,255,1,0,0,4
105530,14,9,30,0,9,0,0.11,0.33,4,0.02,0.01,0,4
41305,14,9,8,0,1,0,1,0,122,1,0,0,1
25770,24,9,332,458,20,0,1,0,255,1,0,0,4
103851,29,5,0,0,261,1,0.03,0.06,9,0.04,0.07,1,0
100710,16,5,0,0,24,1,0.17,0.12,4,0.02,0.07,1,0
33716,24,9,222,18540,5,0,1,0,255,1,0,0,4
35396,69,5,0,0,135,1,0.04,0.07,6,0.02,0.07,1,0
83945,24,9,216,7408,19,0,1,0,255,1,0,0,4
37144,14,9,8,0,1,0,1,0,111,1,0,0,1
9959,49,1,0,0,184,0,0.08,0.07,15,0.06,0.08,0,0
13924,49,5,0,0,120,1,0.02,0.07,2,0.01,0.09,1,0
61809,24,9,297,7202,3,0,1,0,255,1,0,0,4
54636,49,5,0,0,198,1,0.02,0.07,3,0.01,0.08,1,0
55655,57,2,0,0,136,0,0.07,0.06,10,0.04,0.06,0,0
33936,30,5,0,0,142,1,0.01,0.06,2,0.01,0.06,1,0
112600,24,6,306,89060,1,1,1,0,255,1,0,0.01,4
40772,69,5,0,0,289,1,0.04,0.05,12,0.05,0.05,1,0
30970,49,5,0,0,205,1,0.01,0.05,2,0.01,0.07,0.99,0
62748,39,5,0,0,229,1,0.07,0.07,15,0.06,0.08,1,0
86829,12,9,42,75,57,0,1,0,254,1,0.01,0,4
45834,24,9,295,302,12,0,1,0,255,1,0,0,4
95175,24,9,283,736,7,0,1,0,255,1,0,0,4
63650,13,5,0,0,300,1,0.07,0.06,20,0.08,0.08,1,0
41487,12,9,45,136,64,0,1,0,255,1,0,0,4
89501,15,9,1032,0,168,0,1,0,168,0.66,0.01,0,0
71077,19,5,0,0,210,1,0.09,0.06,18,0.07,0.06,1,0
71958,49,9,28,0,5,0,1,0,5,0.02,0.01,0,0
75401,44,9,146,105,5,0,0.2,0.6,1,0,0.84,0,4
114748,24,9,212,2431,5,0,1,0,255,1,0,0,4
123087,12,9,44,135,278,0,1,0,251,0.98,0.01,0,4
14476,24,7,54540,8315,6,0.17,1,0,255,1,0,0.01,0
14657,24,9,346,1185,10,0,1,0,255,1,0,0,4
7492,20,5,0,0,76,1,0.24,0.05,47,0.18,0.04,1,0
23080,24,9,288,4872,11,0,1,0,255,1,0,0,4
119931,19,9,1492,4152,1,0,1,0,28,0.68,0.05,0,4
83640,63,5,0,0,196,1,0.04,0.07,8,0.03,0.07,1,0
116003,24,9,347,725,8,0,1,0,255,1,0,0,4
81836,20,5,0,0,45,1,0.18,0.09,64,0.25,0.02,1,0
18567,24,9,153,11361,32,0,1,0,255,1,0,0,4
101614,24,9,262,4928,4,0.25,1,0,255,1,0,0.02,4
77319,12,9,43,127,69,0,1,0,244,0.96,0.01,0,4
36934,59,1,0,0,236,0,0.01,0.07,3,0.01,0.08,0,0
75368,15,9,30,0,2,0,1,0,188,1,0,0,4
149,60,5,0,0,13,1,0.31,0.31,64,0.25,0.02,1,0
125539,49,5,0,0,121,1,0.07,0.07,11,0.04,0.07,1,0
10425,54,9,12614,1391,1,0,1,0,173,0.98,0.04,0,4
75175,24,9,220,309,5,0,1,0,255,1,0,0,4
1025,24,9,229,301,4,0.25,1,0,255,1,0,0,4
2687,24,9,234,685,2,0,1,0,255,1,0,0,4
65050,44,1,0,0,319,0.1,0,1,1,0,1,0.09,1
14106,49,4,0,0,1,0,1,0,1,0,0.27,0,1
63520,35,5,0,0,253,1,0.01,0.07,3,0.01,0.07,1,0
48369,24,9,191,502,17,0,1,0,255,1,0,0,4
11832,4,5,0,0,245,1,0.01,0.05,2,0.01,0.05,1,0
12966,12,9,43,132,71,0,1,0,240,0.94,0.02,0,4
57691,54,9,1779,408,1,0,1,0,62,0.24,0.05,0.49,4
115401,54,9,1468,357,1,0,1,0,73,0.69,0.05,0,4
98553,49,5,0,0,147,1,0.17,0.05,25,0.1,0.05,1,0
64628,60,9,710,227544,1,0,1,0,32,0.13,0.07,0.7,4
66069,12,9,44,137,79,0,1,0,242,0.95,0.01,0,4
101524,24,5,0,0,25,1,0.52,0.16,53,0.21,0.03,1,0
12808,2,5,0,0,267,1,0.03,0.05,9,0.04,0.05,1,0
81934,15,9,520,0,5,0,1,0,255,1,0,0,0
66288,54,9,1465,327,1,0,1,0,126,0.72,0.02,0.01,4
73977,24,9,373,753,10,0,1,0,255,1,0,0,4
1807,44,9,147,105,4,0,0.5,0.5,2,0.01,0.85,0,4
93876,12,9,43,68,271,0,1,0,240,0.94,0.01,0,4
90186,24,4,54540,8314,3,0,1,0,255,1,0,0,0
32030,49,4,0,0,1,0,1,0,1,0.01,0.12,0,1
74127,49,5,0,0,74,1,0.09,0.07,18,0.07,0.07,1,0
105896,54,9,1367,326,1,0,1,0,92,0.84,0.04,0,4
70936,24,9,232,479,8,0,1,0,255,1,0,0,4
46448,24,1,0,0,1,0,1,0,249,1,0,0,4
97177,69,5,0,0,232,1,0.07,0.05,17,0.07,0.06,1,0
118799,12,9,44,74,221,0,1,0.01,241,0.95,0.02,0,4
97122,15,9,1032,0,123,0,1,0,123,0.48,0.01,0,0
44073,24,9,314,2641,17,0,1,0,255,1,0,0,4
30097,14,9,8,0,1,0,1,0,251,1,0,0,1
71462,66,5,0,0,139,1,0.07,0.06,10,0.04,0.06,1,0
17269,14,9,30,0,2,0,1,0,203,1,0,0,4
58167,49,5,0,0,107,1,0.01,0.07,7,0.03,0.07,1,0
64220,14,9,8,0,1,0,1,0,53,1,0,0,1
989,49,5,0,0,206,1,0.09,0.07,20,0.08,0.07,1,0
39942,24,9,145,364,1,0,1,0,255,1,0,0,4
42709,14,9,8,0,1,0,1,0,66,1,0,0,1
100034,49,5,0,0,28,1,0.04,0.11,16,0.06,0.07,1,0
39424,24,9,297,3468,2,0,1,0,255,1,0,0,4
97240,35,5,0,0,233,1,0.03,0.06,7,0.03,0.07,1,0
86580,24,9,213,4555,11,0,1,0,255,1,0,0,4
61699,24,9,323,462,14,0,1,0,255,1,0,0,4
74483,12,9,43,70,268,0,1,0.01,254,1,0.01,0,4
69340,14,9,18,0,1,0,1,0,72,1,0,0,1
37461,49,4,0,0,1,0,1,0,1,0.01,0.37,0.08,1
15566,24,9,294,9763,41,0,1,0,255,1,0,0,4
49720,56,2,0,15,1,0,1,0,2,0.33,1,0,1
100723,14,9,30,0,1,0,1,0,116,0.02,0.05,0,4
7104,49,4,0,0,304,0,0.01,0.5,2,0.01,0.5,0,1
54054,49,5,0,0,202,1,0.06,0.06,14,0.05,0.07,1,0
118327,49,5,0,0,208,1,0.03,0.07,9,0.04,0.07,1,0
61380,24,9,332,546,18,0,1,0,255,1,0,0,4
18104,49,5,0,0,81,1,0.23,0.06,19,0.07,0.08,1,0
61111,24,9,304,1380,1,0,1,0,12,0.92,0.15,0,4
61181,49,5,0,0,162,1,0.02,0.09,4,0.02,0.09,1,0
49583,49,5,0,0,185,1,0.04,0.05,14,0.05,0.08,1,0
88156,49,5,0,0,88,1,0.11,0.08,19,0.07,0.08,1,0
19554,12,9,17,70,1,0,1,0,209,0.9,0.01,0,4
29774,49,5,0,0,140,1,0.06,0.06,11,0.04,0.06,1,0
13179,11,5,0,0,260,1,0.01,0.06,12,0.05,0.08,1,0
55816,24,9,226,867,8,0,1,0,255,1,0,0,4
62587,54,9,2167,330,1,0,1,0,1,1,0,0,4
112910,49,5,0,0,174,1,0.09,0.06,4,0.02,0.07,1,0
87500,49,5,0,0,170,1,0.08,0.05,4,0.02,0.08,1,0
56701,24,9,191,944,2,0,1,0,255,1,0,0,4
29122,67,5,0,0,277,1,0.07,0.05,19,0.07,0.05,1,0
85718,49,9,28,0,6,0,1,0,73,0.29,0.01,0,0
37977,24,9,242,6905,49,0,1,0,255,1,0,0,4
109541,28,5,0,0,247,1,0.07,0.06,19,0.07,0.07,1,0
55663,67,5,0,0,172,1,0.1,0.05,18,0.07,0.05,1,0
36732,24,9,255,1082,5,0,1,0,255,1,0,0,4
55938,65,9,181,0,2,0,0.5,1,109,0.43,0.01,0,4
109304,24,9,292,1256,8,0,1,0,255,1,0,0,4
95897,49,5,0,0,139,0.99,0.02,0.06,4,0.02,0.06,1,0
22550,24,9,286,915,38,0,1,0,255,1,0,0,4
45496,24,9,214,310,4,0,1,0,255,1,0,0,4
84635,49,5,0,0,144,1,0.07,0.06,5,0.02,0.07,1,0
45597,24,9,215,1728,7,0,1,0,255,1,0,0,4
69056,24,9,312,1769,41,0,1,0,255,1,0,0,4
102030,60,5,0,0,79,1,0.25,0.05,60,0.24,0.04,1,0
69849,30,5,0,0,143,1,0.14,0.05,20,0.08,0.05,1,0
52628,14,9,18,0,1,0,1,0,15,1,0,0,1
76985,24,9,351,14399,3,0.33,1,0,255,1,0,0.33,4
72871,24,9,218,331,1,0,1,0,255,1,0,0,4
81249,12,9,44,44,12,0,1,0,254,1,0.01,0,4
50335,20,9,749,0,2,0,1,0,126,0.33,0.03,0,4
6351,4,9,9,38,1,0,1,0,2,0.03,0.13,0,4
19200,33,5,0,0,226,1,0.08,0.06,20,0.08,0.08,1,0
50591,24,9,319,4385,9,0,1,0,255,1,0,0,4
37385,24,9,183,13194,1,0,1,0,249,0.98,0.01,0,4
101007,20,5,0,0,35,1,0.51,0.06,62,0.24,0.02,1,0
121422,49,5,0,0,147,1,0.07,0.05,11,0.04,0.08,1,0
33810,19,9,1043,2278,1,0,1,0,18,0.07,0.02,0.15,2
99553,43,9,48,48,1,0,1,0,4,0.02,0.01,0,4
14830,4,5,0,0,239,1,0.02,0.05,5,0.02,0.05,1,0
9925,49,5,0,0,222,1,0.02,0.05,5,0.03,0.07,0.91,0
12053,24,9,216,594,1,0,1,0,255,1,0,0,4
64728,49,5,0,0,175,1,0.02,0.07,18,0.07,0.07,1,0
49032,24,9,226,28076,10,0,1,0,255,1,0,0.01,4
96082,24,9,210,500,8,0,1,0,255,1,0,0,4
25529,24,9,331,251,10,0,1,0,255,1,0,0,4
79487,60,2,0,0,208,0,0,0.07,1,0,0.08,0,0
35164,49,5,0,0,210,1,0.05,0.06,12,0.05,0.06,1,0
69251,49,5,0,0,281,1,0.06,0.06,18,0.07,0.07,1,0
115583,24,9,196,1280,28,0,1,0,255,1,0,0,4
59256,35,5,0,0,209,1,0.1,0.05,21,0.08,0.05,1,0
87672,56,5,0,0,215,1,0,0.06,1,0,0.06,1,0
80416,49,5,0,0,279,1,0.01,0.06,4,0.02,0.06,1,0
34254,49,5,0,0,296,1,0.05,0.05,9,0.04,0.08,1,0
72019,49,9,28,0,67,0,1,0,167,0.65,0.35,0.09,0
34154,49,5,0,0,80,1,0.09,0.06,7,0.03,0.05,1,0
1820,20,9,9311,0,11,0,1,0,87,0.44,0.01,0,4
95809,12,9,46,78,108,0,0.99,0.02,253,0.99,0.01,0,4
125665,54,9,897,331,1,0,1,0,129,0.85,0.03,0,4
76529,16,5,0,0,145,1,0.04,0.06,3,0.01,0.06,1,0
77705,24,9,330,417,30,0,1,0,255,1,0,0,4
114327,24,9,239,781,21,0,1,0,255,1,0,0,4
44203,14,9,8,0,1,0,1,0,108,1,0,0,1
47559,24,9,245,1713,9,0,1,0,255,1,0,0,4
92496,24,5,0,0,17,1,0.59,0.24,61,0.24,0.04,1,0
42358,51,5,0,0,108,1,0.04,0.07,4,0.02,0.09,1,0
49132,24,9,236,313,19,0,1,0,255,1,0,0,4
42334,24,9,290,3376,5,0,1,0,255,1,0,0,4
113026,5,5,0,0,223,1,0.09,0.06,2,0.01,0.09,1,0
60627,24,9,288,588,6,0,1,0,255,1,0,0,4
27362,24,9,236,19010,3,0,1,0,255,1,0,0,4
19844,12,9,45,134,76,0,1,0,255,1,0,0,4
94477,54,9,773,327,1,0,1,0,110,0.27,0.05,0,4
107890,10,2,0,0,254,0,0.02,0.07,4,0.02,0.07,0,0
83013,7,1,0,0,286,0,0.05,0.06,14,0.05,0.08,0,0
80086,24,9,258,8195,6,0,1,0,255,1,0,0,4
119328,51,5,0,0,210,1,0.09,0.06,18,0.07,0.06,1,0
108501,24,9,147,18932,1,0,1,0,255,1,0,0,4
23803,63,9,0,4,1,0,1,0,8,1,0,0,4
10299,24,9,234,1244,19,0,1,0,255,1,0,0,4
73884,24,9,141,9920,1,0,1,0,97,1,0,0,4
3367,56,5,0,0,286,1,0.02,0.06,1,0,0.08,1,0
122824,23,5,0,0,256,1,0.01,0.07,2,0.01,0.08,1,0
35556,24,9,230,1283,2,0,1,0,254,1,0,0.01,4
72826,24,9,338,18918,43,0,1,0,255,1,0,0,4
83754,54,9,1288,370,1,0,1,0,195,0.8,0.07,0,4
96947,41,5,0,0,119,1,0.08,0.06,9,0.04,0.05,1,0
12456,24,9,298,1075,1,0,1,0,248,0.97,0.01,0,4
58294,14,9,8,0,1,0,1,0,178,1,0,0,1
125223,9,5,0,0,189,1,0.03,0.06,5,0.02,0.07,1,0
103210,24,9,295,30719,4,0,1,0,255,1,0,0,4
115640,24,9,224,1645,4,0,1,0,255,1,0,0,4
25781,24,9,224,835,21,0,1,0,255,1,0,0,4
85165,54,9,773,337,1,0,1,0,121,0.83,0.33,0,4
84129,24,5,0,0,2,0.5,1,0,255,1,0,0.02,4
124715,38,5,0,0,192,1,0.03,0.07,5,0.02,0.07,1,0
6865,57,5,0,0,284,1,0.02,0.06,15,0.06,0.08,1,0
67006,24,9,287,5250,1,0,1,0,255,1,0,0,4
41867,49,5,0,0,67,1,0.06,0.07,16,0.06,0.06,1,0
